iteration,n_points,max_acquisition,mean_integrated_variance,rmse_A,rmse_B,curve_rmse
47,68,2.197646113873825e-05,7.656294171946879e-06,0.0041823605731603,0.0008331802731863,0.0221586533539344
48,69,2.071634306921588e-05,7.524728616707058e-06,0.0041068271087637,0.0008329046565522,0.0224405725483748
49,70,2.1789130304129822e-05,9.304940303636672e-06,0.0047012818663377,0.0008495744592711,0.02090768167467
50,71,2.044554313913871e-05,7.39528531736651e-06,0.0040801537163803,0.000792070843051,0.0223953433487935
51,72,2.0389101580670088e-05,9.468214852782206e-06,0.0045300196305106,0.0007918735367509,0.0211836909689165
52,73,1.9052402965701043e-05,9.214507198671909e-06,0.0045098849446326,0.0007920950849305,0.0212434873148154
53,74,1.7873374099322548e-05,8.970559054285804e-06,0.0044954074739203,0.0007933724929233,0.0213269390377547
54,75,1.6695102309317866e-05,8.929775829859505e-06,0.0044107254714903,0.0007927721397454,0.0214252725353658
55,76,1.6260391053797563e-05,8.672144663761428e-06,0.0044015565853577,0.0007925610463741,0.021414628010646
56,77,2.432224878719247e-05,1.1370532913729333e-05,0.0046770889579132,0.0008290595892259,0.0231060767706561
57,78,2.132911055931913e-05,1.1209422302375614e-05,0.0046815217834982,0.0008335840481929,0.0230799187451442
58,79,2.096710753334355e-05,1.1240706578938602e-05,0.0047682245182856,0.0008310851319296,0.0236355600967395
59,80,2.0739962662687933e-05,1.116998332033522e-05,0.0047470770056724,0.0008369641425923,0.0237515026391415
60,81,1.9823443459167367e-05,1.095963697477256e-05,0.0047504019599177,0.0008377171750063,0.0237541857821572
61,82,1.8686346933308867e-05,1.075351496671645e-05,0.0047246359067175,0.0008367386734737,0.0236782872072887
62,83,1.883530458079291e-05,1.0798892066956144e-05,0.0047062112145881,0.0008281763814094,0.0227840181536125
63,84,1.881690940182604e-05,1.0822102718487852e-05,0.0047180599683336,0.0008255895559952,0.0230082811507084
64,85,1.9301908672796075e-05,1.0959335965244689e-05,0.0047532704069208,0.000813417557915,0.0223386317156216
65,86,1.860648161856188e-05,1.0750087648177306e-05,0.0047539611355103,0.0008129176816243,0.0224045017778685
