sim_index	hCapM	hConM	densityM	convection	height	A	B	A_var	B_var	iteration
1	3431.02947436273	0.522454071417451	1100.96552770119	0.661652471069247	1.65427873106673	1.42926004471195	-0.0980767991358692	7.09590555645401E-05	1.65515228806281E-07	0
2	3678.59451286495	0.326220187284052	1057.00487028062	3.71535424684174	1.85052829398774	1.70891693950339	-0.117970704871334	0.0006339009418611	7.3281146561017E-07	0
3	3846.69742360711	0.458851450821385	1087.13432166167	2.39815465743654	1.76646974738687	1.52977071791401	-0.106845310092037	0.0001680915102663	3.0277696782591E-07	0
4	3106.17862269282	0.393379895789549	1074.40118557308	4.8938741915673	1.56333049763925	1.7047010090815	-0.129562999730886	0.0006448170089262	8.8232084612755E-07	0
5	3232.05129150301	0.48032929809764	1068.14735759236	6.02212280507199	1.62478203261271	1.66136794380958	-0.139446846478687	0.0003951516739465	7.01769094964775E-07	0
6	3970.82677576691	0.371301832552999	1111.21739234868	2.70638954155147	1.77032816535793	1.62550869217924	-0.102843961096009	0.0004264989746562	5.17638168670969E-07	0
7	3554.46515511721	0.548813506448642	1077.52978993487	4.29707336151972	1.86258483994752	1.53705716350468	-0.132239694372377	0.0001230851239528	3.04134921066021E-07	0
8	3305.15679996461	0.299260528208688	1091.15354826301	1.51646133338101	1.70752145689912	1.66734020650546	-0.103683275163624	0.0006312757806562	6.76017117576164E-07	0
9	3319.44143213332	0.440194152118638	1080.85149870813	3.15293990093283	1.82604847815819	1.5708037111475	-0.124573444555408	0.0001911975337613	3.80024521823646E-07	0
10	3570.94226963818	0.408780066454783	1094.94838659745	5.57628420248628	1.67918838504702	1.70017811656685	-0.125575512384194	0.000590214598469	7.7727421630249E-07	0
11	3903.5674855113	0.510986714120954	1064.40145474765	1.42788098813966	1.58824024549685	1.46610991778814	-0.0964810257165174	0.0001172534630718	2.30299611334682E-07	0
12	3143.5488909483	0.339122799355537	1107.83332130499	4.38636528980918	1.74199000457302	1.72808968770096	-0.126145941829862	0.0007089524809413	8.63483343334502E-07	0
13	3019.38902307302	0.562170440657064	1083.81307473127	3.62174703778699	1.79489627932198	1.52779179328761	-0.139086676526014	0.0001120119158806	3.11513537793091E-07	0
14	3777.72533614188	0.288549931785092	1070.60680950619	0.754547923328355	1.59996031951159	1.66656289130445	-0.0887811195031917	0.0009011677897176	7.58105903635931E-07	0
15	3696.78442832083	0.496183790899813	1104.71189238876	5.35826147335582	1.68269967078231	1.61212394752007	-0.124322854379059	0.0002928208208425	5.03806970594151E-07	0
16	3443.60130932182	0.353401294723153	1060.38940359186	1.93305579259992	1.88715286003426	1.58210488059888	-0.112511614729573	0.0002422925721187	3.92904388988243E-07	0
17	3488.8077005744	0.4879842133075	1097.52461781539	4.01204688644037	1.55726530137472	1.58360643981549	-0.117630274338548	0.0002754538827361	4.77196203813077E-07	0
18	3745.31818926334	0.359705770649016	1082.06390274409	1.77658483424224	1.75066400906071	1.59393841827737	-0.101321656646655	0.0003433664794289	4.53430067260785E-07	0
19	3795.72078026831	0.579457313260064	1105.06927823555	5.91929468921386	1.8442915121559	1.56361309061286	-0.134149771093232	0.0001521551445588	3.50601720774689E-07	0
20	3032.65328891575	0.271941199703142	1063.83609107882	2.78431485693902	1.63864186629653	1.79730722466637	-0.116390424508344	0.0013906823872865	1.20699738405337E-06	0
